,STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE,naics,est,bar_over_popu
0,1.0,1.0,Autauga,Alabama,54571.0,32.500389,-86.494165,722410,1.0,18.324751241501897
1,1.0,3.0,Baldwin,Alabama,182265.0,30.548923,-87.762381,722410,10.0,54.86516884755713
2,1.0,5.0,Barbour,Alabama,27457.0,31.844036,-85.310038,722410,1.0,36.42058491459373
3,1.0,7.0,Bibb,Alabama,22915.0,33.030921,-87.127659,722410,0.0,0.0
4,1.0,9.0,Blount,Alabama,57322.0,33.955242999999996,-86.591491,722410,0.0,0.0
5,1.0,11.0,Bullock,Alabama,10914.0,32.116327000000005,-85.701192,722410,0.0,0.0
6,1.0,13.0,Butler,Alabama,20947.0,31.773539000000003,-86.65355,722410,1.0,47.73953310736621
7,1.0,15.0,Calhoun,Alabama,118572.0,33.72546,-85.81944200000001,722410,5.0,42.16847147724589
8,1.0,17.0,Chambers,Alabama,34215.0,32.860439,-85.266474,722410,0.0,0.0
9,1.0,19.0,Cherokee,Alabama,25989.0,34.179333,-85.629194,722410,0.0,0.0
10,1.0,21.0,Chilton,Alabama,43643.0,32.877547,-86.68740600000001,722410,1.0,22.91318195357789
11,1.0,23.0,Choctaw,Alabama,13859.0,32.016562,-88.26416400000001,722410,1.0,72.1552781585973
12,1.0,25.0,Clarke,Alabama,25833.0,31.685685,-87.815673,722410,0.0,0.0
13,1.0,27.0,Clay,Alabama,13932.0,33.272412,-85.820227,722410,0.0,0.0
14,1.0,29.0,Cleburne,Alabama,14972.0,33.62977,-85.494315,722410,0.0,0.0
15,1.0,31.0,Coffee,Alabama,49948.0,31.354433,-85.904715,722410,2.0,40.041643309041405
16,1.0,33.0,Colbert,Alabama,54428.0,34.723385,-87.685151,722410,5.0,91.86448151686632
17,1.0,35.0,Conecuh,Alabama,13228.0,31.418674,-86.996483,722410,0.0,0.0
18,1.0,37.0,Coosa,Alabama,11539.0,32.975932,-86.155035,722410,1.0,86.66262241095416
19,1.0,39.0,Covington,Alabama,37765.0,31.282449,-86.410955,722410,3.0,79.43863365550112
20,1.0,41.0,Crenshaw,Alabama,13906.0,31.743487,-86.29708000000001,722410,0.0,0.0
21,1.0,43.0,Cullman,Alabama,80406.0,34.162362,-86.831859,722410,0.0,0.0
22,1.0,45.0,Dale,Alabama,50251.0,31.383346000000003,-85.641269,722410,6.0,119.40060894310561
23,1.0,47.0,Dallas,Alabama,43820.0,32.408815000000004,-87.03495500000001,722410,2.0,45.64125969876768
24,1.0,49.0,DeKalb,Alabama,71109.0,34.45511,-85.817208,722410,0.0,0.0
25,1.0,51.0,Elmore,Alabama,79303.0,32.559652,-86.225647,722410,4.0,50.43945374071599
26,1.0,53.0,Escambia,Alabama,38319.0,31.088737,-87.282053,722410,2.0,52.19342884730812
27,1.0,55.0,Etowah,Alabama,104430.0,34.013692999999996,-86.02539300000001,722410,7.0,67.03054677774585
28,1.0,57.0,Fayette,Alabama,17241.0,33.726422,-87.77035500000001,722410,0.0,0.0
29,1.0,59.0,Franklin,Alabama,31704.0,34.460481,-87.793594,722410,0.0,0.0
30,1.0,61.0,Geneva,Alabama,26790.0,31.09426,-85.788849,722410,0.0,0.0
31,1.0,63.0,Greene,Alabama,9045.0,32.830505,-87.924,722410,0.0,0.0
32,1.0,65.0,Hale,Alabama,15760.0,32.775804,-87.62608399999999,722410,0.0,0.0
33,1.0,67.0,Henry,Alabama,17302.0,31.478593,-85.268828,722410,0.0,0.0
34,1.0,69.0,Houston,Alabama,101547.0,31.20455,-85.391221,722410,14.0,137.86719450106847
35,1.0,71.0,Jackson,Alabama,53227.0,34.731984000000004,-85.938698,722410,0.0,0.0
36,1.0,73.0,Jefferson,Alabama,658466.0,33.518601000000004,-86.814688,722410,51.0,77.45274623139235
37,1.0,75.0,Lamar,Alabama,14564.0,33.762769,-88.109649,722410,0.0,0.0
38,1.0,77.0,Lauderdale,Alabama,92709.0,34.866178999999995,-87.60875899999999,722410,2.0,21.57287857705293
39,1.0,79.0,Lawrence,Alabama,34339.0,34.543683,-87.272414,722410,0.0,0.0
40,1.0,81.0,Lee,Alabama,140247.0,32.588091999999996,-85.345833,722410,5.0,35.6513864824203
41,1.0,83.0,Limestone,Alabama,82782.0,34.815612,-86.93897199999999,722410,0.0,0.0
42,1.0,85.0,Lowndes,Alabama,11299.0,32.162415,-86.618688,722410,0.0,0.0
43,1.0,87.0,Macon,Alabama,21452.0,32.425739,-85.715007,722410,0.0,0.0
44,1.0,89.0,Madison,Alabama,334811.0,34.746392,-86.613232,722410,35.0,104.53658929963471
45,1.0,91.0,Marengo,Alabama,21027.0,32.340478999999995,-87.800648,722410,1.0,47.557901745375
46,1.0,93.0,Marion,Alabama,30776.0,34.111796999999996,-87.8743,722410,0.0,0.0
47,1.0,95.0,Marshall,Alabama,93019.0,34.311974,-86.293279,722410,2.0,21.500983670002903
48,1.0,97.0,Mobile,Alabama,412992.0,30.683993,-88.170637,722410,44.0,106.53959398729273
49,1.0,99.0,Monroe,Alabama,23068.0,31.505611,-87.36089399999999,722410,0.0,0.0
50,1.0,101.0,Montgomery,Alabama,229363.0,32.346175,-86.243797,722410,20.0,87.19802234885313
51,1.0,103.0,Morgan,Alabama,119490.0,34.514252,-86.93078100000001,722410,3.0,25.106703489831784
52,1.0,105.0,Perry,Alabama,10591.0,32.581066,-87.369219,722410,1.0,94.41979038806534
53,1.0,107.0,Pickens,Alabama,19746.0,33.292972999999996,-88.06647199999999,722410,0.0,0.0
54,1.0,109.0,Pike,Alabama,32899.0,31.787277000000003,-85.948647,722410,3.0,91.18818201161129
55,1.0,111.0,Randolph,Alabama,22913.0,33.257607,-85.427266,722410,0.0,0.0
56,1.0,113.0,Russell,Alabama,52947.0,32.421972,-85.062843,722410,0.0,0.0
57,1.0,115.0,St. Clair,Alabama,83593.0,33.660628,-86.369107,722410,5.0,59.81362075771895
58,1.0,117.0,Shelby,Alabama,195085.0,33.290719,-86.737978,722410,7.0,35.88179511494989
59,1.0,119.0,Sumter,Alabama,13763.0,32.57442,-88.232646,722410,2.0,145.31715469011118
60,1.0,121.0,Talladega,Alabama,82291.0,33.372083,-86.169238,722410,1.0,12.151997180736654
61,1.0,123.0,Tallapoosa,Alabama,41616.0,32.85306,-85.864503,722410,0.0,0.0
62,1.0,125.0,Tuscaloosa,Alabama,194656.0,33.214154,-87.520229,722410,24.0,123.29442709189543
63,1.0,127.0,Walker,Alabama,67023.0,33.834858000000004,-87.253922,722410,3.0,44.760753771093505
64,1.0,129.0,Washington,Alabama,17581.0,31.410368,-88.18611999999999,722410,0.0,0.0
65,1.0,131.0,Wilcox,Alabama,11670.0,31.999753000000002,-87.38040699999999,722410,0.0,0.0
66,1.0,133.0,Winston,Alabama,24484.0,34.163824,-87.415693,722410,0.0,0.0
67,2.0,13.0,Aleutians East,Alaska,3141.0,54.860151,-162.90153600000002,722410,4.0,1273.4797835084369
